mode,n_points,n_params,beta_est,beta_sigma,delta_beta,gamma_est,gamma_sigma,chi2,dof,weighted_rmse_s,aic_like,delta_aic_base_minus_mode
none,21,2,-3.4962856957592990e+01,1.5989011904179137e+02,-3.5962856957592990e+01,-7.0925713915185980e+01,3.1978023808358273e+02,5.7768431813454919e+11,19,4.2387869910516757e-06,5.7768431813854919e+11,-5.7767845970192383e+11
baseline_intercept,21,7,5.5735321020199722e+00,7.3481300487200025e+00,4.5735321020199722e+00,1.0147064204039944e+01,1.4696260097440005e+01,5.8584226253064321e+06,14,1.3498535494132656e-08,5.8584366253064321e+06,0.0000000000000000e+00
baseline_intercept_linear,21,12,2.2895611027443405e+01,9.9149039978179605e+00,2.1895611027443405e+01,4.4791222054886809e+01,1.9829807995635921e+01,1.1631840535009638e+06,9,6.0147907543855494e-09,1.1632080535009638e+06,4.6952285718054678e+06
