key,value
session,21MAY03XA_ALLSKY_BASELINE_INTERCEPT_LINEAR
n_points,6695
n_params,86
nuisance_mode,baseline_intercept_linear
intercept_s,-8.4214829383181688e-06
delta_gamma,2.6220005544036169e+01
delta_gamma_sigma,8.9956294444857221e-01
gamma_est,2.7220005544036169e+01
gamma_sigma,8.9956294444857221e-01
beta_est,1.4110002772018085e+01
beta_sigma,4.4978147222428611e-01
delta_beta,1.3110002772018085e+01
chi2,6.5274999856613274e+09
dof,6609
rmse_s,1.4387667185928542e-08
weighted_rmse_s,8.3989037134033257e-09
corr_template_residual,1.6587219769966442e-02
