session,max_abs_bendsun_ns,n_points_stable_session,n_stable_sources_present,n_quartiles_valid,beta_est_session_stable,beta_sigma_session_stable,beta_spread_quartiles,max_abs_z_pairwise_quartiles,n_valid_quartiles_quality,max_abs_z_pairwise_quality,quality_session_gate_pass,quality_session_gate_reason
17MAY01XA,5.7691633352725638e+01,140,1,4,2.9887098089273856e+01,1.3561492614938119e+01,3.3836929811837189e+02,3.5729672512538928e+03,2,1.4532940352810369e+01,True,pass
18MAY01XA,3.8915678326779855e+01,265,4,4,4.8475954773095623e+01,3.0960979291484971e+00,6.4464674456125749e+01,7.9813917061530582e+00,3,2.7237373767668061e+00,True,pass
20MAY06XA,1.1452581368343477e+01,48,1,4,2.2524339952431344e+01,6.3599550817500932e+00,1.5013402954021140e+02,2.5050618030368023e+04,2,4.5832698982610633e+00,True,pass
20MAY04XA,1.0106397771203248e+01,725,4,4,4.1113885579202581e+01,2.9201343512945757e+00,1.5986889969624588e+02,1.0780371899444223e+01,4,1.0780371899444223e+01,True,pass
