key,value
session,22MAY24XA_ALLSKY_BASELINE_INTERCEPT_LINEAR
n_points,4678
n_params,20
nuisance_mode,baseline_intercept_linear
intercept_s,1.3320290457731812e-07
delta_gamma,2.5065697537196126e+01
delta_gamma_sigma,1.3933677696995632e+00
gamma_est,2.6065697537196126e+01
gamma_sigma,1.3933677696995632e+00
beta_est,1.3532848768598063e+01
beta_sigma,6.9668388484978161e-01
delta_beta,1.2532848768598063e+01
chi2,1.4246852592536016e+09
dof,4658
rmse_s,1.6021809418640398e-08
weighted_rmse_s,1.4279899373447595e-08
corr_template_residual,-1.2292307867766346e-01
