key,value
session,22MAY16XA_ALLSKY_BASELINE_INTERCEPT_LINEAR
n_points,2393
n_params,30
nuisance_mode,baseline_intercept_linear
intercept_s,-2.0751057135456283e-04
delta_gamma,2.0748447176116986e+01
delta_gamma_sigma,1.1908364315358215e+00
gamma_est,2.1748447176116986e+01
gamma_sigma,1.1908364315358215e+00
beta_est,1.1374223588058493e+01
beta_sigma,5.9541821576791076e-01
delta_beta,1.0374223588058493e+01
chi2,6.2336977662960348e+09
dof,2363
rmse_s,1.3055416058698970e-08
weighted_rmse_s,8.5857074142401799e-09
corr_template_residual,1.0208180144946237e-01
