mode,quartile,n_sessions,n_points_total,beta_weighted_mean,beta_weighted_sigma,chi2,dof,chi2_dof,status
raw,Q1,5,331,1.5228302856744870e+01,1.8993855642750381e+00,3.1398898257860719e+02,4.0000000000000000e+00,7.8497245644651798e+01,reject
raw,Q2,5,338,4.7638287621791576e+01,1.3546419109195093e-03,1.5138405657869015e+02,4.0000000000000000e+00,3.7846014144672537e+01,reject
raw,Q3,5,292,6.8400749849279833e+01,5.6508946087424324e-03,6.0078200892763562e+01,2.0000000000000000e+00,3.0039100446381781e+01,reject
raw,Q4,5,291,1.5013394590252923e+02,5.9932246954931649e-03,6.3594304398486327e+02,4.0000000000000000e+00,1.5898576099621582e+02,reject
quality_gated,Q1,5,331,1.5228302856744870e+01,1.8993855642750381e+00,3.1398898257860719e+02,4.0000000000000000e+00,7.8497245644651798e+01,reject
quality_gated,Q2,4,296,8.8709664811476145e+01,3.4038575708729044e+00,5.7926166414873155e+00,3.0000000000000000e+00,1.9308722138291052e+00,pass
quality_gated,Q3,2,185,8.3707082870343505e+00,7.7479080778623830e+00,4.8165418667272107e-02,1.0000000000000000e+00,4.8165418667272107e-02,pass
quality_gated,Q4,4,279,1.6331853479271299e+01,7.5803831065104363e+00,3.2438155447825028e+02,3.0000000000000000e+00,1.0812718482608342e+02,reject
