key,value
session,21MAY26XA_ALLSKY_BASELINE_INTERCEPT_LINEAR
n_points,4923
n_params,30
nuisance_mode,baseline_intercept_linear
intercept_s,5.5597097907897299e-06
delta_gamma,2.2557742943869126e+01
delta_gamma_sigma,1.2954927921591584e+00
gamma_est,2.3557742943869126e+01
gamma_sigma,1.2954927921591584e+00
beta_est,1.2278871471934563e+01
beta_sigma,6.4774639607957918e-01
delta_beta,1.1278871471934563e+01
chi2,1.6442832294064164e+09
dof,4893
rmse_s,1.4277083279480041e-08
weighted_rmse_s,1.0018983392267658e-08
corr_template_residual,-4.7330760055151078e-02
