mode,n_points,n_params,beta_est,beta_sigma,delta_beta,gamma_est,gamma_sigma,chi2,dof,weighted_rmse_s,aic_like,delta_aic_base_minus_mode
none,2728,2,-3.2269852813162641e+04,3.6013600160641649e+03,-3.2270852813162641e+04,-6.4540705626325282e+04,7.2027200321283299e+03,3.5034484888212531e+17,2726,1.2098214571410860e-04,3.5034484888212531e+17,-3.5034481904003706e+17
baseline_intercept,2728,27,7.6508315857800540e+00,1.1842789362019497e+00,6.6508315857800540e+00,1.4301663171560108e+01,2.3685578724038994e+00,2.9842088203088833e+10,2701,3.5309211506953242e-08,2.9842088257088833e+10,0.0000000000000000e+00
baseline_intercept_linear,2728,52,1.1963474277870860e+01,4.8962787307229888e-01,1.0963474277870860e+01,2.2926948555741721e+01,9.7925574614459776e-01,4.0468019293530302e+09,2676,1.3002575636431633e-08,4.0468020333530302e+09,2.5795286223735802e+10
