obs_index,gravity_template_s,obs_minus_base_s,fit_s,obs_minus_base_minus_fit_s,sigma_s,flag
0,3.3146331762607390e-11,-1.2368334825856291e-05,-1.2329703973498879e-05,-3.8630852357411947e-08,1.0795464663767399e-11,0
1,3.2138573005790324e-11,-1.8691835562901354e-05,-1.8683671571369608e-05,-8.1639915317466511e-09,2.0372972137130809e-11,0
3,2.5175054879227805e-10,-2.3791367293081586e-06,-2.3915538725529228e-06,1.2417143244764266e-08,1.2303665855019201e-11,0
4,2.3479477811161780e-11,3.7399462057352041e-05,3.7394186741076298e-05,5.2753162757426895e-09,1.5150654268922566e-11,0
5,5.8825633541347728e-12,1.0412343468897082e-04,1.0412274173924323e-04,6.9294972758731765e-10,7.0845608390303467e-12,0
6,-5.5129554414246935e-11,-7.3204320352833127e-06,-7.3215178615152904e-06,1.0858262319776723e-09,1.1346614068748243e-11,0
7,-1.0077587540183784e-12,-6.3235089548807768e-06,-6.3213271095201764e-06,-2.1818453606004077e-09,1.8042129114789835e-11,0
9,2.1860421708743759e-10,9.9891635344234861e-06,9.9879712638120085e-06,1.1922706114775333e-09,1.3344044166120761e-11,0
10,-9.6668539774164624e-12,4.9767784925044273e-05,4.9762471032502745e-05,5.3138925415274025e-09,1.6575174074236428e-11,0
11,-2.7263768420282810e-11,1.1649177407266039e-04,1.1649115694232896e-04,6.1713033142930807e-10,6.2966470273544243e-12,0
12,-8.8275886178822588e-11,5.0478777156482031e-06,5.0449515108375297e-06,2.9262048106734042e-09,2.0386428677649835e-11,0
14,2.1961197583789528e-10,1.6312698188757340e-05,1.6309011375102289e-05,3.6868136550512176e-09,2.3016425553179280e-11,0
15,-8.6590952190752213e-12,5.6091313341401737e-05,5.6081311545651318e-05,1.0001795750419267e-08,3.4697231527869558e-11,0
16,-2.6256009665250817e-11,1.2281527628274285e-04,1.2281244113731144e-04,2.8351454314117820e-09,1.2145283710098314e-11,0
17,-8.7268127422797561e-11,1.1371429436142499e-05,1.1366033070200806e-05,5.3963659416933572e-09,4.2274582812821392e-11,0
22,-2.2827107100971059e-10,3.9778573276771402e-05,3.9777047452618843e-05,1.5258241525595078e-09,3.2887357787236482e-11,0
23,-2.4586798546207583e-10,1.0650260596785236e-04,1.0650786261841911e-04,-5.2566505667495924e-09,9.8821537096013406e-12,0
24,-3.0688010322762242e-10,-4.9412971349625280e-06,-4.9382121612994625e-06,-3.0849736630654765e-09,2.7618924395764092e-11,0
25,-1.7596914378451717e-11,6.6723974892835165e-05,6.6726651707491966e-05,-2.6768146568003108e-09,8.6760018070208053e-12,0
26,-7.8609032073413104e-11,-4.4719915035370747e-05,-4.4716999022533153e-05,-2.9160128375941034e-09,2.9220800726812507e-11,0
27,-6.1012117735442591e-11,-1.1144386681871741e-04,-1.1144554382448341e-04,1.6770057659979808e-09,1.3034073434280599e-11,0
28,-1.8356215011361130e-11,3.1002277474734621e-06,3.0961797932643598e-06,4.0479542091023413e-09,3.3375143682035133e-11,0
29,-2.6175513222688926e-11,-7.3197886942318741e-06,-7.3209698030370981e-06,1.1811088052239937e-09,2.9282957299979985e-11,0
30,-7.8192982634345447e-12,-1.0419912492023791e-05,-1.0416976841575029e-05,-2.9356504487622326e-09,5.5351893499825134e-11,0
31,1.3039043190252254e-12,-6.3217347960340901e-06,-6.3214523952277627e-06,-2.8240080632742630e-10,4.3671805643674760e-11,0
33,3.9573035614206668e-10,9.9909752879290617e-06,9.9908834759740284e-06,9.1811955033301918e-11,2.6046205129861986e-11,0
34,-8.2078940384278765e-12,4.9767140759837854e-05,4.9762344295619503e-05,4.7964642183509335e-09,2.0336886132417208e-11,0
35,-2.9767865527023070e-11,1.1649228315350514e-04,1.1649124512329682e-04,1.0380302083249629e-09,1.9697816833881700e-11,0
37,3.9442645182366293e-10,1.6312683881926013e-05,1.6312021084575877e-05,6.6279735013577488e-10,4.3707507021642488e-11,0
38,-9.5117983609184131e-12,5.6088910417343221e-05,5.6081327884201534e-05,7.5825331416872204e-09,4.0466413396683743e-11,0
39,-3.1071769845465281e-11,1.2281402155913095e-04,1.2281266399270501e-04,1.3575664259467355e-09,3.4519827677905839e-11,0
43,-4.0393825034500960e-10,3.9776092673831330e-05,3.9774042245835616e-05,2.0504279957137082e-09,2.3828652280921468e-11,0
44,-4.2549822179314689e-10,1.0650126533124618e-04,1.0650502950110255e-04,-3.7641698563738255e-09,1.9815811798686129e-11,0
45,-2.1559971358256719e-11,6.6725157647252575e-05,6.6726849413899784e-05,-1.6917666472088862e-09,1.2538658718566339e-11,0
