mode,n_points,n_params,beta_est,beta_sigma,delta_beta,gamma_est,gamma_sigma,chi2,dof,weighted_rmse_s,aic_like,delta_aic_base_minus_mode
none,825,2,8.1619734340058749e+03,6.4471125835275097e+02,8.1609734340058749e+03,1.6322946868011750e+04,1.2894225167055019e+03,6.8144361381487086e+13,823,4.4883557988312401e-06,6.8144361381491086e+13,-6.8141230120046609e+13
baseline_intercept,825,7,8.5276491179162505e+01,4.9725580007841170e+00,8.4276491179162505e+01,1.6955298235832501e+02,9.9451160015682341e+00,3.1312614304756441e+09,818,3.0425097465815490e-08,3.1312614444756441e+09,0.0000000000000000e+00
baseline_intercept_linear,825,12,4.9085756586441050e+01,3.5434643248427151e+00,4.8085756586441050e+01,9.7171513172882101e+01,7.0869286496854302e+00,1.3211921321356556e+09,813,1.9763110697889505e-08,1.3211921561356556e+09,1.8100692883399885e+09
