key,value
session,18MAY14XA_ALLSKY_BASELINE_INTERCEPT_LINEAR
n_points,7507
n_params,100
nuisance_mode,baseline_intercept_linear
intercept_s,3.8462700035346563e-05
delta_gamma,1.9111492422803543e+01
delta_gamma_sigma,6.9947759036312229e-01
gamma_est,2.0111492422803543e+01
gamma_sigma,6.9947759036312229e-01
beta_est,1.0555746211401772e+01
beta_sigma,3.4973879518156115e-01
delta_beta,9.5557462114017717e+00
chi2,1.0039727672119526e+10
dof,7407
rmse_s,1.9417349416850218e-08
weighted_rmse_s,1.6313539041602941e-08
corr_template_residual,1.8211578385451056e-02
