key,value
session,21MAY25XA_ALLSKY_BASELINE_INTERCEPT_LINEAR
n_points,8567
n_params,106
nuisance_mode,baseline_intercept_linear
intercept_s,-2.1019309051342833e-04
delta_gamma,1.1474791406651256e+01
delta_gamma_sigma,5.8390089012697011e-01
gamma_est,1.2474791406651256e+01
gamma_sigma,5.8390089012697011e-01
beta_est,6.7373957033256282e+00
beta_sigma,2.9195044506348505e-01
delta_beta,5.7373957033256282e+00
chi2,1.0634122683341137e+10
dof,8461
rmse_s,1.5682424502960095e-08
weighted_rmse_s,9.9798760923045378e-09
corr_template_residual,1.2864803496451041e-02
