threshold_ns,n_sessions,n_valid,beta_weighted_mean,beta_weighted_sigma,chi2,dof,chi2_dof,status,sessions
1.0000000000000000e+01,5,5,1.4583111824233315e+00,4.2990768410362784e-02,5.5338878601509043e+02,4.0000000000000000e+00,1.3834719650377261e+02,reject,17MAY01XA;18MAY01XA;22MAY09XA;20MAY06XA;20MAY04XA
1.2000000000000000e+01,2,2,1.3181507919978337e+00,4.3471383106150487e-02,5.8455230665997497e+00,1.0000000000000000e+00,5.8455230665997497e+00,reject,17MAY01XA;18MAY01XA
1.5000000000000000e+01,2,2,1.3181507919978337e+00,4.3471383106150487e-02,5.8455230665997497e+00,1.0000000000000000e+00,5.8455230665997497e+00,reject,17MAY01XA;18MAY01XA
2.0000000000000000e+01,2,2,1.3181507919978337e+00,4.3471383106150487e-02,5.8455230665997497e+00,1.0000000000000000e+00,5.8455230665997497e+00,reject,17MAY01XA;18MAY01XA
