mode,drop_session,n_sessions,n_valid,beta_weighted_mean,beta_weighted_sigma,chi2,dof,chi2_dof
base,,5,5,1.5341621623892721e+00,4.2670838819618494e-02,7.1438640641168899e+02,4.0000000000000000e+00,1.7859660160292225e+02
drop_one,17MAY01XA,4,4,1.7432847537226153e+00,5.4005848553298846e-02,6.7447856430097738e+02,3.0000000000000000e+00,2.2482618810032579e+02
drop_one,18MAY01XA,4,4,1.7223607071484661e+00,6.6461788960292797e-02,7.0074478092293236e+02,3.0000000000000000e+00,2.3358159364097745e+02
drop_one,20MAY04XA,4,4,1.3789757985336264e+00,4.3176012510879665e-02,1.5906806371309014e+02,3.0000000000000000e+00,5.3022687904363380e+01
drop_one,20MAY06XA,4,4,1.5247433863261191e+00,4.2696934086989151e-02,6.7456347367206979e+02,3.0000000000000000e+00,2.2485449122402326e+02
drop_one,22MAY09XA,4,4,1.4864439279721617e+00,4.2929321577335436e-02,6.1147522219474604e+02,3.0000000000000000e+00,2.0382507406491536e+02
