mode,n_points,n_params,beta_est,beta_sigma,delta_beta,gamma_est,gamma_sigma,chi2,dof,weighted_rmse_s,aic_like,delta_aic_base_minus_mode
none,61,2,-1.1359280075333358e+04,1.8798695441714599e+03,-1.1360280075333358e+04,-2.2719560150666715e+04,3.7597390883429198e+03,1.3489264927453960e+12,59,6.9744163096906997e-06,1.3489264927493960e+12,-1.3489243008566562e+12
baseline_intercept,61,13,3.0475901483451356e+01,9.8000601877476665e+00,2.9475901483451356e+01,5.9951802966902711e+01,1.9600120375495333e+01,2.1918667396326810e+06,48,8.8903897047047459e-09,2.1918927396326810e+06,0.0000000000000000e+00
baseline_intercept_linear,61,24,-5.2562292433898596e+00,0.0000000000000000e+00,-6.2562292433898596e+00,-1.1512458486779719e+01,0.0000000000000000e+00,2.6873664045487437e+05,37,3.1129859959284065e-09,2.6878464045487437e+05,1.9231080991778066e+06
