key,value
session,18MAY09XA_ALLSKY_BASELINE_INTERCEPT
n_points,1198
n_params,16
nuisance_mode,baseline_intercept
intercept_s,-1.5883727632926744e-05
delta_gamma,5.2238128746083291e+01
delta_gamma_sigma,4.6597088796622570e+00
gamma_est,5.3238128746083291e+01
gamma_sigma,4.6597088796622570e+00
beta_est,2.7119064373041645e+01
beta_sigma,2.3298544398311285e+00
delta_beta,2.6119064373041645e+01
chi2,2.1314811783332539e+09
dof,1182
rmse_s,3.1573075224113716e-08
weighted_rmse_s,2.9544776083509004e-08
corr_template_residual,1.2591529063140752e-01
