key,value
session,18MAY21XA_ALLSKY_BASELINE_INTERCEPT_LINEAR
n_points,5197
n_params,40
nuisance_mode,baseline_intercept_linear
intercept_s,-1.9195426113345968e-05
delta_gamma,1.7577898750690508e+01
delta_gamma_sigma,8.3465535107352196e-01
gamma_est,1.8577898750690508e+01
gamma_sigma,8.3465535107352196e-01
beta_est,9.7889493753452541e+00
beta_sigma,4.1732767553676098e-01
delta_beta,8.7889493753452541e+00
chi2,4.1268956956504250e+08
dof,5157
rmse_s,1.2689463459060693e-08
weighted_rmse_s,1.0298319644043172e-08
corr_template_residual,-1.6782306153698628e-01
