key,value
session,18APR10XA_ALLSKY_BASELINE_INTERCEPT_LINEAR
n_points,3650
n_params,72
nuisance_mode,baseline_intercept_linear
intercept_s,-1.2330249318617011e-05
delta_gamma,3.0905307413045101e+01
delta_gamma_sigma,1.1692777605483466e+00
gamma_est,3.1905307413045101e+01
gamma_sigma,1.1692777605483466e+00
beta_est,1.6452653706522550e+01
beta_sigma,5.8463888027417332e-01
delta_beta,1.5452653706522550e+01
chi2,1.1218574011059866e+09
dof,3578
rmse_s,1.5765161652004476e-08
weighted_rmse_s,1.0662646362229907e-08
corr_template_residual,4.6804099659450850e-02
