mode,n_points,n_params,beta_est,beta_sigma,delta_beta,gamma_est,gamma_sigma,chi2,dof,weighted_rmse_s,aic_like,delta_aic_base_minus_mode
none,5197,2,-6.1227403450139091e+03,3.3388098944147634e+02,-6.1237403450139091e+03,-1.2246480690027818e+04,6.6776197888295269e+02,3.6120895782463488e+14,5195,9.6346041832272146e-06,3.6120895782463888e+14,-3.6120751999789238e+14
baseline_intercept,5197,21,1.0347721402265977e+01,7.6856416202614952e-01,9.3477214022659769e+00,1.9695442804531954e+01,1.5371283240522990e+00,1.4378267044845371e+09,5176,1.9222412557416263e-08,1.4378267464845371e+09,0.0000000000000000e+00
baseline_intercept_linear,5197,40,9.7889493753452541e+00,4.1732767553676098e-01,8.7889493753452541e+00,1.8577898750690508e+01,8.3465535107352196e-01,4.1268956956504250e+08,5157,1.0298319644043172e-08,4.1268964956504250e+08,1.0251370969194946e+09
