key,value
session,17MAY22XA_ALLSKY_BASELINE_INTERCEPT
n_points,5908
n_params,55
nuisance_mode,baseline_intercept
intercept_s,-1.1506430620452904e-05
delta_gamma,1.9214538817405881e+01
delta_gamma_sigma,2.0994786960304732e+00
gamma_est,2.0214538817405881e+01
gamma_sigma,2.0994786960304732e+00
beta_est,1.0607269408702940e+01
beta_sigma,1.0497393480152366e+00
delta_beta,9.6072694087029404e+00
chi2,3.0909329885685944e+10
dof,5853
rmse_s,4.1153601242949492e-08
weighted_rmse_s,3.4309393155399493e-08
corr_template_residual,-4.5482016403368325e-02
