key,value
session,17MAY01XA
nuisance_mode,baseline_intercept_linear
n_points_all,4010
n_points_selected,1029
n_points_added_by_filter,2981
beta_all,1.1866902903646863e+00
beta_all_sigma,6.9614570068410556e-02
beta_selected,1.0402280341625678e+00
beta_selected_sigma,1.1228616958600239e-02
delta_beta_all_minus_selected,1.4646225620211850e-01
sigma_combined_delta_beta,7.0514326236677652e-02
abs_z_delta_beta,2.0770567346914102e+00
status,watch
max_abs_z_component,5.9486356706348176e-01
max_abs_impact_component,6.3172805309378077e-02
