mode,beta_selected,beta_selected_sigma,beta_all,beta_all_sigma,delta_beta_all_minus_selected,sigma_combined,abs_z_delta_beta,wrmse_selected_s,wrmse_all_s
baseline_intercept,3.0475901483451356e+01,9.8000601877476665e+00,1.0347721402265977e+01,7.6856416202614952e-01,-2.0128180081185377e+01,9.8301510952084445e+00,2.0475962054130123e+00,8.8903897047047459e-09,1.9222412557416263e-08
baseline_intercept_linear,-5.2562292433898596e+00,0.0000000000000000e+00,9.7889493753452541e+00,4.1732767553676098e-01,1.5045178618735115e+01,4.1732767553676098e-01,3.6051236236332080e+01,3.1129859959284065e-09,1.0298319644043172e-08
none,-1.1359280075333358e+04,1.8798695441714599e+03,-6.1227403450139091e+03,3.3388098944147634e+02,5.2365397303194486e+03,1.9092894013778612e+03,2.7426642218515633e+00,6.9744163096906997e-06,9.6346041832272146e-06
