mode,quartile,n_sessions,n_points_total,beta_weighted_mean,beta_weighted_sigma,chi2,dof,chi2_dof,status
raw,Q1,4,137,1.1695062753810666e+01,1.9212011088990459e+00,1.6421023796778937e+02,3.0000000000000000e+00,5.4736745989263120e+01,reject
raw,Q2,4,152,4.7638287275086491e+01,1.3546419135190006e-03,1.3431625819522390e+02,3.0000000000000000e+00,4.4772086065074632e+01,reject
raw,Q3,4,126,6.8400781756750419e+01,5.6508961086001929e-03,1.7911620508771965e-02,1.0000000000000000e+00,1.7911620508771965e-02,pass
raw,Q4,4,112,1.5013396254390940e+02,5.9932258603070830e-03,6.1610807453895336e+02,3.0000000000000000e+00,2.0536935817965113e+02,reject
quality_gated,Q1,4,137,1.1695062753810666e+01,1.9212011088990459e+00,1.6421023796778937e+02,3.0000000000000000e+00,5.4736745989263120e+01,reject
quality_gated,Q2,3,110,8.7486214904758981e+01,3.4458635299937841e+00,5.9039812913147072e-01,2.0000000000000000e+00,2.9519906456573536e-01,pass
quality_gated,Q3,1,19,nan,nan,nan,nan,nan,watch
quality_gated,Q4,3,100,-1.3329874305168974e+02,1.2327081369220540e+01,8.7444361059193682e+01,2.0000000000000000e+00,4.3722180529596841e+01,reject
