key,value
session,17APR18XA_ALLSKY_BASELINE_INTERCEPT_LINEAR
n_points,7733
n_params,110
nuisance_mode,baseline_intercept_linear
intercept_s,-5.8752878275633848e-06
delta_gamma,2.2802987997711679e+01
delta_gamma_sigma,7.2554135902103134e-01
gamma_est,2.3802987997711679e+01
gamma_sigma,7.2554135902103134e-01
beta_est,1.2401493998855839e+01
beta_sigma,3.6277067951051567e-01
delta_beta,1.1401493998855839e+01
chi2,1.8924023033117676e+10
dof,7623
rmse_s,1.7229852861702799e-08
weighted_rmse_s,1.2361801501123956e-08
corr_template_residual,1.3119827987077068e-01
