key,value
session,18APR23XA_ALLSKY_BASELINE_INTERCEPT_LINEAR
n_points,4639
n_params,88
nuisance_mode,baseline_intercept_linear
intercept_s,2.6335092788575557e-05
delta_gamma,2.0169436718030124e+01
delta_gamma_sigma,9.8162535333769874e-01
gamma_est,2.1169436718030124e+01
gamma_sigma,9.8162535333769874e-01
beta_est,1.1084718359015062e+01
beta_sigma,4.9081267666884937e-01
delta_beta,1.0084718359015062e+01
chi2,9.8005760423719997e+09
dof,4551
rmse_s,1.8022502170898845e-08
weighted_rmse_s,8.1739574525981294e-09
corr_template_residual,8.6070204855068430e-02
