mode,n_points,n_params,beta_est,beta_sigma,delta_beta,gamma_est,gamma_sigma,chi2,dof,weighted_rmse_s,aic_like,delta_aic_base_minus_mode
none,1734,2,2.5029793503730571e+02,1.7579653439609976e+02,2.4929793503730571e+02,4.9959587007461141e+02,3.5159306879219952e+02,1.1483401121951572e+14,1732,4.4099820055109463e-06,1.1483401121951972e+14,-1.1483220084642472e+14
baseline_intercept,1734,7,9.8722127774259487e+00,7.0660086656082111e-01,8.8722127774259487e+00,1.8744425554851897e+01,1.4132017331216422e+00,1.8103730810020607e+09,1727,1.7509977636885954e-08,1.8103730950020607e+09,0.0000000000000000e+00
baseline_intercept_linear,1734,12,6.3332217940087849e+00,6.4047900057548912e-01,5.3332217940087849e+00,1.1666443588017570e+01,1.2809580011509782e+00,1.3910121336443930e+09,1722,1.5348537828129136e-08,1.3910121576443930e+09,4.1936093735766768e+08
