mode,quartile,n_sessions,n_points_total,beta_weighted_mean,beta_weighted_sigma,chi2,dof,chi2_dof,status
raw,Q1,4,312,1.5213710255802503e+01,1.9014576668239680e+00,3.1396194460061355e+02,3.0000000000000000e+00,1.0465398153353784e+02,reject
raw,Q2,4,320,4.7638287095210501e+01,1.3546419208754169e-03,1.4110400900731719e+02,3.0000000000000000e+00,4.7034669669105732e+01,reject
raw,Q3,4,273,6.8400749874415837e+01,5.6508946118635616e-03,6.0060289322487250e+01,1.0000000000000000e+00,6.0060289322487250e+01,reject
raw,Q4,4,273,1.5013394365905376e+02,5.9932247353825302e-03,6.2541627778683085e+02,3.0000000000000000e+00,2.0847209259561029e+02,reject
quality_gated,Q1,4,312,1.5213710255802503e+01,1.9014576668239680e+00,3.1396194460061355e+02,3.0000000000000000e+00,1.0465398153353784e+02,reject
quality_gated,Q2,3,278,8.9246436636696203e+01,3.5737280509014289e+00,5.5495326631516093e+00,2.0000000000000000e+00,2.7747663315758047e+00,watch
quality_gated,Q3,1,166,nan,nan,nan,nan,nan,watch
quality_gated,Q4,3,261,9.7533033322961273e+00,7.6624095583706575e+00,2.8976834181037543e+02,2.0000000000000000e+00,1.4488417090518772e+02,reject
