key,value
session,18APR16XA_ALLSKY_BASELINE_INTERCEPT_LINEAR
n_points,3806
n_params,70
nuisance_mode,baseline_intercept_linear
intercept_s,2.5872579721873815e-07
delta_gamma,2.5356123092421743e+01
delta_gamma_sigma,1.2287025447739950e+00
gamma_est,2.6356123092421743e+01
gamma_sigma,1.2287025447739950e+00
beta_est,1.3678061546210872e+01
beta_sigma,6.1435127238699749e-01
delta_beta,1.2678061546210872e+01
chi2,3.8927076472123365e+09
dof,3736
rmse_s,1.6682017945139670e-08
weighted_rmse_s,1.2161484328523806e-08
corr_template_residual,1.5943591815904018e-01
