key,value
session,18MAY01XA
nuisance_mode,baseline_intercept_linear
n_points_all,12427
n_points_selected,2645
n_points_added_by_filter,9782
beta_all,1.4021809170205990e+00
beta_all_sigma,5.5657027442395014e-02
beta_selected,1.0259443399229191e+00
beta_selected_sigma,1.6471506582034941e-02
delta_beta_all_minus_selected,3.7623657709767988e-01
sigma_combined_delta_beta,5.8043218663385063e-02
abs_z_delta_beta,6.4820074723908823e+00
status,reject
max_abs_z_component,2.4495103556677909e+00
max_abs_impact_component,2.5059929125269886e-01
