key,value
session,17MAY01XA_none
n_points,1029
n_params,2
nuisance_mode,none
intercept_s,-1.7197268847518153e-05
delta_gamma,9.8835214716409064e+02
delta_gamma_sigma,5.0496529675806039e+02
gamma_est,9.8935214716409064e+02
gamma_sigma,5.0496529675806039e+02
beta_est,4.9517607358204532e+02
beta_sigma,2.5248264837903019e+02
delta_beta,4.9417607358204532e+02
chi2,4.5730095365640704e+16
dof,1027
rmse_s,1.6187591182563493e-04
weighted_rmse_s,9.4916639471104538e-05
corr_template_residual,-2.3684982842174607e-01
