key,value
session,18MAY22XA_ALL_none
n_points,4822
n_params,2
nuisance_mode,none
intercept_s,4.1810948119121924e-05
delta_gamma,-3.4886025884123123e+03
delta_gamma_sigma,6.0187357349576296e+03
gamma_est,-3.4876025884123123e+03
gamma_sigma,6.0187357349576296e+03
beta_est,-1.7433012942061562e+03
beta_sigma,3.0093678674788148e+03
delta_beta,-1.7443012942061562e+03
chi2,4.9312973755545805e+17
dof,4820
rmse_s,1.0989848083181882e-04
weighted_rmse_s,1.0255952592391875e-04
corr_template_residual,2.6142122201418570e-02
