key,value
session,18MAY09XA_ALLSKY_NONE
n_points,1198
n_params,2
nuisance_mode,none
intercept_s,-6.3896673392494438e-06
delta_gamma,2.8962001713053455e+03
delta_gamma_sigma,1.9853727274102064e+03
gamma_est,2.8972001713053455e+03
gamma_sigma,1.9853727274102064e+03
beta_est,1.4491000856526728e+03
beta_sigma,9.9268636370510319e+02
delta_beta,1.4481000856526728e+03
chi2,4.3160688930644019e+14
dof,1196
rmse_s,1.4366202295357973e-05
weighted_rmse_s,1.3294871252336813e-05
corr_template_residual,1.2591529063140752e-01
