key,value
session,18MAY09XA_ALL_baseline_intercept_linear
n_points,1198
n_params,30
nuisance_mode,baseline_intercept_linear
intercept_s,-1.5881496394921949e-05
delta_gamma,2.1669238801026140e+01
delta_gamma_sigma,3.9888139043279685e+00
gamma_est,2.2669238801026140e+01
gamma_sigma,3.9888139043279685e+00
beta_est,1.1834619400513070e+01
beta_sigma,1.9944069521639842e+00
delta_beta,1.0834619400513070e+01
chi2,7.8958356666860533e+08
dof,1168
rmse_s,1.9179660656292054e-08
weighted_rmse_s,1.7982041776851630e-08
corr_template_residual,1.2591529063140752e-01
