key,value
session,18MAY02XA_ALLSKY_BASELINE_INTERCEPT_LINEAR
n_points,6191
n_params,108
nuisance_mode,baseline_intercept_linear
intercept_s,-2.8668225916752886e-05
delta_gamma,1.8098829488282735e+01
delta_gamma_sigma,5.6860828623582071e-01
gamma_est,1.9098829488282735e+01
gamma_sigma,5.6860828623582071e-01
beta_est,1.0049414744141368e+01
beta_sigma,2.8430414311791036e-01
delta_beta,9.0494147441413677e+00
chi2,5.2907112392915506e+09
dof,6083
rmse_s,1.9578150006579120e-08
weighted_rmse_s,1.3967392632792134e-08
corr_template_residual,7.9376410991465932e-02
