key,value
session,17APR25XA_ALLSKY_BASELINE_INTERCEPT_LINEAR
n_points,9806
n_params,154
nuisance_mode,baseline_intercept_linear
intercept_s,-2.6768797390741103e-06
delta_gamma,1.5438732147911594e+01
delta_gamma_sigma,6.1068591142908002e-01
gamma_est,1.6438732147911594e+01
gamma_sigma,6.1068591142908002e-01
beta_est,8.7193660739557970e+00
beta_sigma,3.0534295571454001e-01
delta_beta,7.7193660739557970e+00
chi2,1.0301284695510571e+10
dof,9652
rmse_s,1.3336743501724508e-08
weighted_rmse_s,9.8928367687079317e-09
corr_template_residual,9.9617662113834604e-02
