mode,beta_selected,beta_selected_sigma,beta_all,beta_all_sigma,delta_beta_all_minus_selected,sigma_combined,abs_z_delta_beta,wrmse_selected_s,wrmse_all_s
baseline_intercept,5.5735321020199722e+00,7.3481300487200025e+00,9.8722127774259487e+00,7.0660086656082111e-01,4.2986806754059765e+00,7.3820254671415437e+00,5.8231723725961415e-01,1.3498535494132656e-08,1.7509977636885954e-08
baseline_intercept_linear,2.2895611027443405e+01,9.9149039978179605e+00,6.3332217940087849e+00,6.4047900057548912e-01,-1.6562389233434619e+01,9.9355691651824731e+00,1.6669794108499310e+00,6.0147907543855494e-09,1.5348537828129136e-08
none,-3.4962856957592990e+01,1.5989011904179137e+02,2.5029793503730571e+02,1.7579653439609976e+02,2.8526079199489868e+02,2.3763264016729119e+02,1.2004276508230423e+00,4.2387869910516757e-06,4.4099820055109463e-06
