mode,n_points,n_params,beta_est,beta_sigma,delta_beta,gamma_est,gamma_sigma,chi2,dof,weighted_rmse_s,aic_like,delta_aic_base_minus_mode
none,5908,2,-2.3213896016319519e+04,2.0826511792727215e+03,-2.3214896016319519e+04,-4.6428792032639038e+04,4.1653023585454430e+03,1.7475994979185379e+17,5906,8.1581032476701115e-05,1.7475994979185379e+17,-1.7475991888252381e+17
baseline_intercept,5908,55,1.0607269408702940e+01,1.0497393480152366e+00,9.6072694087029404e+00,2.0214538817405881e+01,2.0994786960304732e+00,3.0909329885685944e+10,5853,3.4309393155399493e-08,3.0909329995685944e+10,0.0000000000000000e+00
baseline_intercept_linear,5908,108,1.4016383151481223e+01,4.7039921875132129e-01,1.3016383151481223e+01,2.7032766302962447e+01,9.4079843750264258e-01,5.0001335380694523e+09,5800,1.3799363132301036e-08,5.0001337540694523e+09,2.5909196241616493e+10
