key,value
session,20MAY06XA_ALLSKY_BASELINE_INTERCEPT_LINEAR
n_points,719
n_params,26
nuisance_mode,baseline_intercept_linear
intercept_s,1.2159459740033486e-05
delta_gamma,1.6465147602652142e+01
delta_gamma_sigma,2.4413498307701325e+00
gamma_est,1.7465147602652142e+01
gamma_sigma,2.4413498307701325e+00
beta_est,9.2325738013260708e+00
beta_sigma,1.2206749153850662e+00
delta_beta,8.2325738013260708e+00
chi2,7.4084924832771051e+08
dof,693
rmse_s,1.6037008687560733e-08
weighted_rmse_s,8.9076111795327156e-09
corr_template_residual,-1.2719347842097709e-01
