obs_index,gravity_template_s,obs_minus_base_s,fit_s,obs_minus_base_minus_fit_s,sigma_s,flag
0,7.8421160431957874e-11,-1.9184594003639134e-05,-4.9066056662043083e-06,-1.4277988337434826e-05,3.4730858106240981e-11,0
2,9.6914274494100212e-11,-9.9411425260697954e-06,-5.0198342017775310e-06,-4.9213083242922644e-06,5.7571334714484591e-11,0
3,5.2968398867813674e-11,-2.0024626865539183e-05,-4.7507650160835027e-06,-1.5273861849455681e-05,2.3366713751931241e-11,0
4,-3.1984040868108503e-11,-5.5583039560793036e-06,-4.2306232859050092e-06,-1.3276806701742944e-06,2.7412668987869715e-11,0
5,-7.9516975788092457e-11,9.7816847691772272e-06,-3.9395914675535030e-06,1.3721276236730731e-05,2.4334441447418649e-11,0
6,-1.0958153564420558e-12,-9.4028423788723069e-06,-4.4197438704311774e-06,-4.9830985084411295e-06,2.0797255122850248e-11,0
7,-3.2655937154955043e-12,-8.4480122556061007e-07,-4.4064588809324630e-06,3.5616576553718529e-06,7.2621280604069379e-11,0
8,1.7397298706351934e-11,-1.5931813881792534e-07,-4.5329724060083904e-06,4.3736542671904651e-06,2.8914007595649263e-11,0
9,-2.6548576913664239e-11,-1.0243060882980545e-05,-4.2639032203527538e-06,-5.9791576626277914e-06,5.4188081937566417e-11,0
10,-1.1150101666328622e-10,4.2239301399060996e-06,-3.7437614900903804e-06,7.9676916299964792e-06,3.0776008468632363e-11,0
12,1.8493114059561592e-11,9.2435178467528169e-06,-4.5396817988821731e-06,1.3783199645634990e-05,3.8056682796888198e-11,0
13,-2.5452761561790083e-11,-8.3982355763678306e-07,-4.2706126132183593e-06,3.4307890555815763e-06,4.7873658939320167e-11,0
14,-1.1040520130644569e-10,1.3626833758314350e-05,-3.7504708829863935e-06,1.7377304641300745e-05,4.1406503295212191e-11,0
16,-4.3945875601084839e-11,-1.0083658279842127e-05,-4.1573840777850267e-06,-5.9262742020570999e-06,9.6215837752802353e-11,0
17,-1.2889831537493978e-10,4.3829649088553309e-06,-3.6372423473742806e-06,8.0202072562296119e-06,6.6684142645455232e-11,0
19,-8.4952439755426139e-11,1.4466427087899097e-05,-3.9063115330268395e-06,1.8372738620925937e-05,5.2189950818099520e-11,0
21,1.7067344167307661e-10,-1.9180318355053842e-05,-5.4714424304788758e-06,-1.3708875924574966e-05,4.6401290883256050e-11,0
23,1.9199626083739169e-10,-9.9396288959175891e-06,-5.6019965156456628e-06,-4.3376323802719263e-06,6.9928803541122414e-11,0
24,2.2017617730379933e-11,-2.0026481090793316e-05,-4.5612614197036419e-06,-1.5465219671089673e-05,2.9033089488312887e-11,0
25,2.7755886460411860e-11,-5.5537131189442590e-06,-4.5963953491675403e-06,-9.5731776977671874e-07,3.1379281882532131e-11,0
26,-1.7269293438179912e-10,9.7754559880616071e-06,-3.3690992666864700e-06,1.3144555254748077e-05,3.1278816096369439e-11,0
27,-2.0194926965800402e-12,-9.4047953670439212e-06,-4.4140884339149392e-06,-4.9907069331289819e-06,3.1276185159724100e-11,0
29,1.9303326478521733e-11,-1.6434172478202360e-07,-4.5446425191477711e-06,4.3803007943657475e-06,4.4719308694308480e-11,0
30,-1.5067531652808867e-10,-1.0251095216861489e-05,-3.5039074238204814e-06,-6.7471877930410070e-06,7.5368001787472812e-11,0
31,-1.4493704805956680e-10,4.2220315187011838e-06,-3.5390413516832215e-06,7.7610728703844049e-06,3.8378456774045704e-11,0
33,2.1322819176357475e-11,9.2406476851363039e-06,-4.5570073485652714e-06,1.3797655033701576e-05,5.8298365425311935e-11,0
34,-1.4865582383531175e-10,-8.4624015234818772e-07,-3.5162722532070074e-06,2.6700321008588197e-06,9.3420910009809581e-11,0
35,-1.4291755535978102e-10,1.3627290285560343e-05,-3.5514061811126612e-06,1.7178696466673003e-05,5.0905481886697024e-11,0
37,-1.6997864300191452e-10,-1.0086529251327955e-05,-3.3857181680262126e-06,-6.7008110833017427e-06,1.1724336188201782e-10,0
40,5.7382688316143867e-12,1.4472833394478177e-05,-4.4615871934106121e-06,1.8934420587888788e-05,5.6662782478005999e-11,0
42,-2.2721669743954548e-12,-9.4053049831912714e-06,-4.4125413749200117e-06,-4.9927636082712598e-06,3.8639816901142662e-11,0
43,2.3418451566370818e-10,-1.9162190015512524e-05,-5.8603042455564791e-06,-1.3301885769956045e-05,4.9176314175023362e-11,0
45,2.5860228870125141e-10,-9.9227409810767261e-06,-6.0098079296688374e-06,-3.9129330514078887e-06,5.8199464056020275e-11,0
46,-5.1953262702091745e-11,-2.0037155038734114e-05,-4.1083569257235472e-06,-1.5928798113010567e-05,1.9208264460043745e-11,0
47,-2.3796695024660810e-10,9.7544541152821095e-06,-2.9694434162699259e-06,1.2723897531552035e-05,4.4139592333189811e-11,0
48,-3.7824344899498334e-12,-9.4076419944801059e-06,-4.4032943990707632e-06,-5.0043475954093427e-06,2.3804732087400669e-11,0
50,2.0635338561293896e-11,-1.6816203276733292e-07,-4.5527980832670066e-06,4.3846360504996737e-06,4.1005347806556116e-11,0
51,-2.8992021288844695e-10,-1.0282526761834151e-05,-2.6513470790376355e-06,-7.6311796827965164e-06,1.1199106437427188e-10,0
53,2.4417773051765879e-11,9.2394993627362718e-06,-4.5759569475241911e-06,1.3815456310260464e-05,5.3223592883147030e-11,0
54,-2.8613777839755981e-10,-8.7488382404139753e-07,-2.6745059432973624e-06,1.7996221192559649e-06,1.3577662635654255e-10,0
58,3.8108104899956792e-11,-2.0025788347833098e-05,-4.6597792946677384e-06,-1.5366009053165361e-05,2.1608919970949828e-11,0
59,1.8479754199673792e-12,-9.3982465457046491e-06,-4.4377679369851796e-06,-4.9604786087194695e-06,2.4017963267935932e-11,0
61,1.3325101251010115e-11,-1.4260580347904975e-07,-4.5080393983557063e-06,4.3654335948766565e-06,3.8107466790089384e-11,0
62,-9.5251646429640261e-11,4.2448405605322384e-06,-3.8432521648009923e-06,8.0880927253332315e-06,3.4565179977426590e-11,0
