mode,n_points,n_params,beta_est,beta_sigma,delta_beta,gamma_est,gamma_sigma,chi2,dof,weighted_rmse_s,aic_like,delta_aic_base_minus_mode
none,1198,2,1.4491000856526728e+03,9.9268636370510319e+02,1.4481000856526728e+03,2.8972001713053455e+03,1.9853727274102064e+03,4.3160688930644019e+14,1196,1.3294871252336813e-05,4.3160688930644419e+14,-4.3160475782523388e+14
baseline_intercept,1198,16,2.7119064373041645e+01,2.3298544398311285e+00,2.6119064373041645e+01,5.3238128746083291e+01,4.6597088796622570e+00,2.1314811783332539e+09,1182,2.9544776083509004e-08,2.1314812103332539e+09,0.0000000000000000e+00
baseline_intercept_linear,1198,30,1.1834619400513070e+01,1.9944069521639842e+00,1.0834619400513070e+01,2.2669238801026140e+01,3.9888139043279685e+00,7.8958356666860533e+08,1168,1.7982041776851630e-08,7.8958362666860533e+08,1.3418975836646485e+09
