key,value
session,19MAY06XA_ALLSKY_BASELINE_INTERCEPT_LINEAR
n_points,8248
n_params,42
nuisance_mode,baseline_intercept_linear
intercept_s,-1.7286693316865011e-04
delta_gamma,1.3500615377041948e+01
delta_gamma_sigma,9.6827207331592136e-01
gamma_est,1.4500615377041948e+01
gamma_sigma,9.6827207331592136e-01
beta_est,7.7503076885209738e+00
beta_sigma,4.8413603665796068e-01
delta_beta,6.7503076885209738e+00
chi2,3.7313340446854294e+10
dof,8206
rmse_s,1.0673864717447598e-08
weighted_rmse_s,1.0850831611685266e-08
corr_template_residual,2.9913078892264727e-02
