key,value
session,17MAY09XA_baseline_intercept
n_points,21
n_params,7
nuisance_mode,baseline_intercept
intercept_s,6.0381424243245318e-06
delta_gamma,9.1470642040399444e+00
delta_gamma_sigma,1.4696260097440005e+01
gamma_est,1.0147064204039944e+01
gamma_sigma,1.4696260097440005e+01
beta_est,5.5735321020199722e+00
beta_sigma,7.3481300487200025e+00
delta_beta,4.5735321020199722e+00
chi2,5.8584226253064321e+06
dof,14
rmse_s,1.3843720019478585e-08
weighted_rmse_s,1.3498535494132656e-08
corr_template_residual,-7.0429128739185151e-02
