mode,n_points,n_params,beta_est,beta_sigma,delta_beta,gamma_est,gamma_sigma,chi2,dof,weighted_rmse_s,aic_like,delta_aic_base_minus_mode
none,4010,2,1.4592956486015078e+03,6.7046755063155456e+02,1.4582956486015078e+03,2.9175912972030155e+03,1.3409351012631091e+03,1.3150348047975296e+18,4008,9.5009356626911864e-05,1.3150348047975296e+18,-1.3150347591819164e+18
baseline_intercept,4010,22,1.1568698010885798e+00,1.2543328818829214e-01,1.5686980108857984e-01,1.3137396021771597e+00,2.5086657637658427e-01,4.5615613217289902e+10,3988,1.7695160748921788e-08,4.5615613261289902e+10,0.0000000000000000e+00
baseline_intercept_linear,4010,42,1.1866902903646863e+00,6.9614570068410556e-02,1.8669029036468632e-01,1.3733805807293726e+00,1.3922914013682111e-01,1.3951957220063677e+10,3968,9.7862278135770652e-09,1.3951957304063677e+10,3.1663655957226227e+10
