key,value
session,18MAY01XA_none
n_points,2645
n_params,2
nuisance_mode,none
intercept_s,-1.9290855843360675e-05
delta_gamma,1.1319365241974414e+04
delta_gamma_sigma,5.6004215231705325e+02
gamma_est,1.1320365241974414e+04
gamma_sigma,5.6004215231705325e+02
beta_est,5.6606826209872070e+03
beta_sigma,2.8002107615852663e+02
delta_beta,5.6596826209872070e+03
chi2,1.2113625245750544e+17
dof,2643
rmse_s,1.3098356481620682e-04
weighted_rmse_s,1.0526854452718136e-04
corr_template_residual,3.1337569672593107e-01
