mode,n_points,n_params,beta_est,beta_sigma,delta_beta,gamma_est,gamma_sigma,chi2,dof,weighted_rmse_s,aic_like,delta_aic_base_minus_mode
none,1091,2,2.3915109777107095e+03,8.8160723912472292e+02,2.3905109777107095e+03,4.7820219554214191e+03,1.7632144782494458e+03,1.6834860701764647e+14,1089,1.0184032749669751e-05,1.6834860701765047e+14,-1.6834686972244381e+14
baseline_intercept,1091,4,7.8920170119142128e+01,2.8575929188991958e+00,7.7920170119142128e+01,1.5684034023828426e+02,5.7151858377983915e+00,1.7372951986580834e+09,1087,3.2715369770171669e-08,1.7372952066580834e+09,0.0000000000000000e+00
baseline_intercept_linear,1091,6,4.1211044898768733e+01,2.4232934567012299e+00,4.0211044898768733e+01,8.1422089797537467e+01,4.8465869134024597e+00,9.2781294634749413e+08,1085,2.3908109581997367e-08,9.2781295834749413e+08,8.0948224831058931e+08
