key,value
session,17MAY09XA_none
n_points,21
n_params,2
nuisance_mode,none
intercept_s,8.4706289927074605e-06
delta_gamma,-7.1925713915185980e+01
delta_gamma_sigma,3.1978023808358273e+02
gamma_est,-7.0925713915185980e+01
gamma_sigma,3.1978023808358273e+02
beta_est,-3.4962856957592990e+01
beta_sigma,1.5989011904179137e+02
delta_beta,-3.5962856957592990e+01
chi2,5.7768431813454919e+11
dof,19
rmse_s,4.3391444489961454e-06
weighted_rmse_s,4.2387869910516757e-06
corr_template_residual,-7.0429128739185151e-02
