key,value
session,21MAY31XA_ALLSKY_BASELINE_INTERCEPT_LINEAR
n_points,2530
n_params,46
nuisance_mode,baseline_intercept_linear
intercept_s,6.5745745042847754e-06
delta_gamma,2.4196011707069466e+01
delta_gamma_sigma,1.6190513540394167e+00
gamma_est,2.5196011707069466e+01
gamma_sigma,1.6190513540394167e+00
beta_est,1.3098005853534733e+01
beta_sigma,8.0952567701970835e-01
delta_beta,1.2098005853534733e+01
chi2,8.9799069658700800e+08
dof,2484
rmse_s,1.6138554756670801e-08
weighted_rmse_s,1.5015364747228262e-08
corr_template_residual,-3.1994477558803025e-02
