session,max_abs_bendsun_ns,n_points_stable_session,n_stable_sources_present,n_quartiles_valid,beta_est_session_stable,beta_sigma_session_stable,beta_spread_quartiles,max_abs_z_pairwise_quartiles,n_valid_quartiles_quality,max_abs_z_pairwise_quality,quality_session_gate_pass,quality_session_gate_reason
18MAY01XA,3.8915678326779855e+01,185,2,4,4.6054490745170263e+01,3.9960677300421343e+00,2.1483926114191431e+02,1.7211399195941198e+04,2,2.7717958582000093e+00,True,pass
17MAY01XA,2.9980768003362140e+01,140,1,4,2.9887098089273856e+01,1.3561492614938119e+01,3.3836929811837189e+02,3.5729672512538928e+03,2,1.4532940352810369e+01,True,pass
20MAY06XA,1.1452581368343477e+01,48,1,4,2.2524339952431344e+01,6.3599550817500932e+00,1.5013402954021140e+02,2.5050618030368023e+04,2,4.5832698982610633e+00,True,pass
20MAY04XA,1.0106397771203248e+01,672,2,4,3.9647687758979231e+01,2.8240206154993794e+00,1.5728509046221640e+02,1.0332446918908115e+01,4,1.0332446918908115e+01,True,pass
