key,value
session,18MAY01XA_ALL_baseline_intercept
n_points,12427
n_params,46
nuisance_mode,baseline_intercept
intercept_s,-2.0462670294295275e-04
delta_gamma,3.3669396159008347e-01
delta_gamma_sigma,1.7531157395307997e-01
gamma_est,1.3366939615900835e+00
gamma_sigma,1.7531157395307997e-01
beta_est,1.1683469807950417e+00
beta_sigma,8.7655786976539987e-02
delta_beta,1.6834698079504173e-01
chi2,6.3370944935046783e+10
dof,12381
rmse_s,2.1593852625384817e-08
weighted_rmse_s,1.5220843702963768e-08
corr_template_residual,1.6332459331867943e-01
