key,value
session,19MAY08XA_ALLSKY_BASELINE_INTERCEPT_LINEAR
n_points,1407
n_params,54
nuisance_mode,baseline_intercept_linear
intercept_s,1.1105228113322097e-05
delta_gamma,1.5752117046422438e+01
delta_gamma_sigma,2.1397366653291816e+00
gamma_est,1.6752117046422438e+01
gamma_sigma,2.1397366653291816e+00
beta_est,8.8760585232112188e+00
beta_sigma,1.0698683326645908e+00
delta_beta,7.8760585232112188e+00
chi2,2.8725191455363178e+09
dof,1353
rmse_s,2.0567333502108801e-08
weighted_rmse_s,1.8159370282622760e-08
corr_template_residual,-5.0784654305884087e-02
