group_type,group_label,n_removed,beta_drop,beta_drop_sigma,impact_beta_all_minus_drop,sigma_combined,abs_z_impact
baseline,ISHIOKA-HOBART26,258,1.0624027121692931e+01,4.4218046080373680e-01,-8.3507774634767706e-01,6.0801804963793715e-01,1.3734423621880132e+00
baseline,ISHIOKA-YARRA12M,333,9.0610416024726899e+00,4.3382405005228791e-01,7.2790777287256425e-01,6.0196818451865541e-01,1.2092130308425060e+00
baseline,HOBART26-KASHIM11,231,1.0184903125606880e+01,4.4352366168051144e-01,-3.9595375026162571e-01,6.0899558885053084e-01,6.5017507106903993e-01
baseline,ISHIOKA-WARK12M,275,1.0130265595647929e+01,4.3801775210374899e-01,-3.4131622030267472e-01,6.0499747100871204e-01,5.6416140010238114e-01
baseline,KASHIM11-YARRA12M,252,9.4904362368527870e+00,4.3232060666551791e-01,2.9851313849246708e-01,6.0088559286819110e-01,4.9678864335485612e-01
baseline,HOBART26-WARK12M,399,9.5080909668035840e+00,4.1369757379762923e-01,2.8085840854167010e-01,5.8762919544127556e-01,4.7795176060093758e-01
baseline,HOBART26-YARRA12M,371,9.5590854316711322e+00,4.1981976888877837e-01,2.2986394367412188e-01,5.9195525770005908e-01,3.8831303664269989e-01
baseline,KASHIM11-WARK12M,246,1.0015185375911090e+01,4.3813232074153191e-01,-2.2623600056583548e-01,6.0508042378453852e-01,3.7389410014427316e-01
baseline,WARK12M-YARRA12M,352,9.6527403604023867e+00,4.2614807123311449e-01,1.3620901494286741e-01,5.9646002999750092e-01,2.2836235136064040e-01
baseline,ISHIOKA-VERAMZSW,465,9.8013433070818703e+00,4.2500091494093184e-01,-1.2393931736616182e-02,5.9564097111392966e-01,2.0807721996419826e-02
baseline,KASHIM11-VERAMZSW,442,9.8008520567025315e+00,4.3311508817150812e-01,-1.1902681357277345e-02,6.0145745350002044e-01,1.9789731240361028e-02
baseline,ISHIOKA-KASHIM11,551,9.7858363325560767e+00,4.3834710632824669e-01,3.1130427891774559e-03,6.0523596588046824e-01,5.1435191638830495e-03
source,0458-020,205,1.2233718160152806e+01,4.7236694295592091e-01,-2.4447687848075521e+00,6.3031176219902341e-01,3.8786659736100670e+00
source,OJ287,232,7.7957571461882234e+00,4.0215983075869399e-01,1.9931922291570308e+00,5.7956442113433559e-01,3.4391210993523607e+00
source,0454-234,227,9.1039594369144119e+00,4.3802862723235980e-01,6.8498993843084222e-01,6.0500534464084010e-01,1.1322047722363260e+00
source,0017+200,220,9.4411875371874956e+00,4.2758794803652361e-01,3.4776183815775852e-01,5.9748961670894407e-01,5.8203829561638087e-01
source,1936-155,242,1.0083127953664974e+01,4.2318504660481621e-01,-2.9417857831971972e-01,5.9434667698140331e-01,4.9496125697851651e-01
source,0727-115,228,9.5108800990650000e+00,4.1846695562004005e-01,2.7806927628025413e-01,5.9099660042577284e-01,4.7050909612665137e-01
source,0748+126,218,9.5587688525519905e+00,4.2411732596458573e-01,2.3018052279326362e-01,5.9501083599567051e-01,3.8685097626514231e-01
source,1741-038,196,1.0001960066146635e+01,4.2231097076737739e-01,-2.1301069080138113e-01,5.9372463718410806e-01,3.5877017300753961e-01
source,1334-127,184,9.6947635040511884e+00,4.1592307258899219e-01,9.4185871294065748e-02,5.8919809154543612e-01,1.5985433871148680e-01
source,1149-084,232,9.7235645512120072e+00,4.2552884815495529e-01,6.5384824133246866e-02,5.9601777606125050e-01,1.0970280880771502e-01
source,2227-088,220,9.7705219435921471e+00,4.2338203393334495e-01,1.8427431753107015e-02,5.9448695143497643e-01,3.0997201382850812e-02
source,3C446,255,9.7858116491395712e+00,4.2219379317816824e-01,3.1377262056828670e-03,5.9364129553720058e-01,5.2855591908299799e-03
time_quartile,Q2,1309,1.2256672754910639e+01,6.1919275145938790e-01,-2.4677233795653848e+00,7.4670077824304126e-01,3.3048356871568352e+00
time_quartile,Q1,1302,1.1037557551541450e+01,4.6019251995753535e-01,-1.2486081761961962e+00,6.2124032724363820e-01,2.0098633675893303e+00
time_quartile,Q3,1294,9.4416572163001824e+00,5.2267494561236694e-01,3.4729215904507171e-01,6.6884339537727877e-01,5.1924286229838956e-01
time_quartile,Q4,1292,9.8889226519070430e+00,4.1112525968259706e-01,-9.9973276561788893e-02,5.8582110572938473e-01,1.7065495862822452e-01
