key,value
session,17MAY22XA_ALL_baseline_intercept_linear
n_points,5908
n_params,108
nuisance_mode,baseline_intercept_linear
intercept_s,-1.1505765928712158e-05
delta_gamma,2.6032766302962447e+01
delta_gamma_sigma,9.4079843750264258e-01
gamma_est,2.7032766302962447e+01
gamma_sigma,9.4079843750264258e-01
beta_est,1.4016383151481223e+01
beta_sigma,4.7039921875132129e-01
delta_beta,1.3016383151481223e+01
chi2,5.0001335380694523e+09
dof,5800
rmse_s,1.7832554660944644e-08
weighted_rmse_s,1.3799363132301036e-08
corr_template_residual,-4.5482016403368325e-02
