mode,beta_selected,beta_selected_sigma,beta_all,beta_all_sigma,delta_beta_all_minus_selected,sigma_combined,abs_z_delta_beta,wrmse_selected_s,wrmse_all_s
baseline_intercept,-3.5226422165763452e+01,8.6287260201406006e+00,8.0898241645053144e+00,1.2958843204492170e+00,4.3316246330268768e+01,8.7254930463921401e+00,4.9643322274125685e+00,1.2766094075678319e-08,2.8131888153088057e-08
baseline_intercept_linear,1.7865628772686303e+01,4.3444271464780705e+01,1.6570057789330221e+01,7.2299218050773750e-01,-1.2955709833560825e+00,4.3450287004790134e+01,2.9817317045874831e-02,1.1648255728585127e-08,1.2884077561632139e-08
none,-1.8324263366830593e+04,7.2743381770768674e+03,-2.5601795852638486e+04,2.0671032182653835e+03,-7.2775324858078930e+03,7.5623350646107392e+03,9.6233933350353262e-01,2.8465292172994016e-05,5.1712478939266022e-05
