mode,n_points,n_params,beta_est,beta_sigma,delta_beta,gamma_est,gamma_sigma,chi2,dof,weighted_rmse_s,aic_like,delta_aic_base_minus_mode
none,4822,2,-1.7433012942061562e+03,3.0093678674788148e+03,-1.7443012942061562e+03,-3.4876025884123123e+03,6.0187357349576296e+03,4.9312973755545805e+17,4820,1.0255952592391875e-04,4.9312973755545805e+17,-4.9312968949129440e+17
baseline_intercept,4822,35,4.9515179206213125e+00,9.7637920933872058e-01,3.9515179206213125e+00,8.9030358412426249e+00,1.9527584186774412e+00,4.8064163546685760e+10,4787,3.2018877500785699e-08,4.8064163616685760e+10,0.0000000000000000e+00
baseline_intercept_linear,4822,68,8.7448550113038603e+00,4.1944150967176219e-01,7.7448550113038603e+00,1.6489710022607721e+01,8.3888301934352438e-01,6.7814374052363520e+09,4754,1.2026971641588563e-08,6.7814375412363520e+09,4.1282726075449409e+10
