session,source,n_points,max_abs_bendsun_ns,beta_source,beta_source_sigma,delta_beta_from_1,beta_all_session,beta_all_session_sigma,delta_beta_vs_session_all
22MAY09XA,0342+147,48,1.1981812554125794e+01,-2.5275302830335921e+01,2.1628242886777573e+00,-2.6275302830335921e+01,5.4609783256794806e+00,3.8943244120781795e-01,-3.0736281156015401e+01
18MAY01XA,0402-362,85,3.8915678326779855e+01,-7.9000243035806621e+00,1.7497670044145014e+01,-8.9000243035806612e+00,1.4021809170205990e+00,5.5657027442395014e-02,-9.3022052206012606e+00
20MAY06XA,0410+110,23,1.1452581368343477e+01,-5.8519682778517170e+00,1.6777905279714393e+00,-6.8519682778517170e+00,9.2325738013260708e+00,1.2206749153850662e+00,-1.5084542079177787e+01
18MAY01XA,0420+022,149,3.8915678326779855e+01,-1.5596206331092292e+01,9.0431782836824919e+00,-1.6596206331092290e+01,1.4021809170205990e+00,5.5657027442395014e-02,-1.6998387248112891e+01
22MAY09XA,0420+022,57,1.1981812554125794e+01,3.0352339509478110e+01,9.0778078334971468e+00,2.9352339509478110e+01,5.4609783256794806e+00,3.8943244120781795e-01,2.4891361183798629e+01
17MAY01XA,0420-014,155,2.9980768003362140e+01,2.9851685421913260e+01,3.7567742016773531e+00,2.8851685421913260e+01,1.1866902903646863e+00,6.9614570068410556e-02,2.8664995131548572e+01
20MAY04XA,0454+844,34,1.0106397771203248e+01,-1.7034049178183659e+00,3.6005878858806190e-01,-2.7034049178183661e+00,8.0497082639269522e+00,2.7976357126395818e-01,-9.7531131817453183e+00
17MAY01XA,0454-234,48,2.9980768003362140e+01,-1.4108610897234612e+02,5.0185362647477923e+01,-1.4208610897234612e+02,1.1866902903646863e+00,6.9614570068410556e-02,-1.4227279926271081e+02
18MAY01XA,0454-234,178,3.8915678326779855e+01,2.4271894974081306e+01,9.0457244689929972e+00,2.3271894974081306e+01,1.4021809170205990e+00,5.5657027442395014e-02,2.2869714057060708e+01
22MAY09XA,0454-234,88,1.1981812554125794e+01,3.6780510017894372e+01,4.2693428817005184e+01,3.5780510017894372e+01,5.4609783256794806e+00,3.8943244120781795e-01,3.1319531692214891e+01
