key,value
session,18MAY01XA_ALLSKY_BASELINE_INTERCEPT_LINEAR
n_points,12427
n_params,90
nuisance_mode,baseline_intercept_linear
intercept_s,-2.0462643583592783e-04
delta_gamma,8.0436183404119799e-01
delta_gamma_sigma,1.1131405488479003e-01
gamma_est,1.8043618340411980e+00
gamma_sigma,1.1131405488479003e-01
beta_est,1.4021809170205990e+00
beta_sigma,5.5657027442395014e-02
delta_beta,4.0218091702059899e-01
chi2,2.5210052395348907e+10
dof,12337
rmse_s,1.4542827481505096e-08
weighted_rmse_s,9.6002050459550156e-09
corr_template_residual,1.6332459331867943e-01
