key,value
session,22MAY03XA_ALLSKY_BASELINE_INTERCEPT_LINEAR
n_points,8479
n_params,108
nuisance_mode,baseline_intercept_linear
intercept_s,-1.1697464312647048e-05
delta_gamma,1.3564407515257958e+01
delta_gamma_sigma,6.4361891987562203e-01
gamma_est,1.4564407515257958e+01
gamma_sigma,6.4361891987562203e-01
beta_est,7.7822037576289791e+00
beta_sigma,3.2180945993781102e-01
delta_beta,6.7822037576289791e+00
chi2,1.0954700606142994e+10
dof,8371
rmse_s,1.5945422618683979e-08
weighted_rmse_s,1.1500006435372158e-08
corr_template_residual,-4.4307784703596156e-02
