mode,n_points,n_params,beta_est,beta_sigma,delta_beta,gamma_est,gamma_sigma,chi2,dof,weighted_rmse_s,aic_like,delta_aic_base_minus_mode
none,7405,2,-2.5601795852638486e+04,2.0671032182653835e+03,-2.5602795852638486e+04,-5.1204591705276973e+04,4.1342064365307670e+03,4.2398138990435219e+17,7403,5.1712478939266022e-05,4.2398138990435219e+17,-4.2398126443032282e+17
baseline_intercept,7405,62,8.0898241645053144e+00,1.2958843204492170e+00,7.0898241645053144e+00,1.5179648329010629e+01,2.5917686408984340e+00,1.2547402923455235e+11,7343,2.8131888153088057e-08,1.2547402935855235e+11,0.0000000000000000e+00
baseline_intercept_linear,7405,122,1.6570057789330221e+01,7.2299218050773750e-01,1.5570057789330221e+01,3.2140115578660442e+01,1.4459843610154750e+00,2.6318597442664471e+10,7283,1.2884077561632139e-08,2.6318597686664471e+10,9.9155431671887878e+10
