key,value
session,17APR24XA_ALLSKY_BASELINE_INTERCEPT_LINEAR
n_points,4020
n_params,72
nuisance_mode,baseline_intercept_linear
intercept_s,1.5404429698583343e-04
delta_gamma,-3.5001800618558718e+02
delta_gamma_sigma,3.9763002645686129e+02
gamma_est,-3.4901800618558718e+02
gamma_sigma,3.9763002645686129e+02
beta_est,-1.7400900309279359e+02
beta_sigma,1.9881501322843064e+02
delta_beta,-1.7500900309279359e+02
chi2,1.7944494469014525e+15
dof,3948
rmse_s,1.4798443858922781e-05
weighted_rmse_s,2.3682371219233704e-06
corr_template_residual,-4.1744990992773033e-03
