key,value
session,22MAY09XA_ALLSKY_BASELINE_INTERCEPT_LINEAR
n_points,4874
n_params,70
nuisance_mode,baseline_intercept_linear
intercept_s,-1.1665292990436216e-05
delta_gamma,8.9219566513589612e+00
delta_gamma_sigma,7.7886488241563590e-01
gamma_est,9.9219566513589612e+00
gamma_sigma,7.7886488241563590e-01
beta_est,5.4609783256794806e+00
beta_sigma,3.8943244120781795e-01
delta_beta,4.4609783256794806e+00
chi2,9.7154996008064117e+09
dof,4804
rmse_s,1.8048426125129452e-08
weighted_rmse_s,1.6516879590187318e-08
corr_template_residual,-3.2253043512279339e-02
