session,max_abs_bendsun_ns,n_points,beta_all,beta_all_sigma,max_abs_z_source,max_abs_z_baseline,max_abs_z_time_quartile,top_source_group,top_baseline_group,top_time_quartile_group
17MAY01XA,5.7691633352725638e+01,4010,1.1866902903646863e+00,6.9614570068410556e-02,1.1608942777901301e+00,4.3525105072880266e-01,5.9486356706348176e-01,0235+164,BADARY-HARTRAO,Q2
18MAY01XA,3.8915678326779855e+01,12427,1.4021809170205990e+00,5.5657027442395014e-02,9.8090823779874707e+00,9.0847423454564169e-01,2.4495103556677909e+00,0229+131,BADARY-KUNMING,Q2
22MAY09XA,1.1981812554125794e+01,4874,5.4609783256794806e+00,3.8943244120781795e-01,6.5697530148200007e+00,1.9037148815483298e+00,2.9764251557359707e+00,0235+164,RAEGSMAR-WETTZELL,Q4
20MAY06XA,1.1452581368343477e+01,719,9.2325738013260708e+00,1.2206749153850662e+00,1.1549848114820642e+00,2.7594669526685678e+00,5.4477914649750812e+00,3C418,HARTRAO-WETTZELL,Q3
20MAY04XA,1.0106397771203248e+01,9994,8.0497082639269522e+00,2.7976357126395818e-01,3.1400508971591350e+00,1.7999480409579585e+00,2.2082692615467612e+00,0059+581,SVETLOE-ZELENCHK,Q2
