mode,n_points,n_params,beta_est,beta_sigma,delta_beta,gamma_est,gamma_sigma,chi2,dof,weighted_rmse_s,aic_like,delta_aic_base_minus_mode
none,2645,2,5.6606826209872070e+03,2.8002107615852663e+02,5.6596826209872070e+03,1.1320365241974414e+04,5.6004215231705325e+02,1.2113625245750544e+17,2643,1.0526854452718136e-04,1.2113625245750544e+17,-1.2113625130986437e+17
baseline_intercept,2645,46,1.3888747757588427e+00,4.2037239421348661e-02,3.8887477575884266e-01,1.7777495515176853e+00,8.4074478842697323e-02,1.1476409848286490e+09,2599,1.0246241222749797e-08,1.1476410768286490e+09,0.0000000000000000e+00
baseline_intercept_linear,2645,90,1.0259443399229191e+00,1.6471506582034941e-02,2.5944339922919113e-02,1.0518886798458382e+00,3.2943013164069883e-02,1.4960342092048550e+08,2555,3.6994086999684730e-09,1.4960360092048550e+08,9.9803747590816355e+08
