threshold_ns,n_sessions,n_valid,beta_weighted_mean,beta_weighted_sigma,chi2,dof,chi2_dof,status,sessions
1.0000000000000000e+01,5,5,1.9114716722593172e+00,6.0085963318783742e-02,6.7847519432308195e+02,4.0000000000000000e+00,1.6961879858077049e+02,reject,17MAY01XA;18MAY01XA;22MAY09XA;20MAY06XA;20MAY04XA
1.2000000000000000e+01,2,2,1.5211158787609766e+00,6.2387821202215733e-02,1.1723957570335330e+02,1.0000000000000000e+00,1.1723957570335330e+02,reject,17MAY01XA;18MAY01XA
1.5000000000000000e+01,2,2,1.5211158787609766e+00,6.2387821202215733e-02,1.1723957570335330e+02,1.0000000000000000e+00,1.1723957570335330e+02,reject,17MAY01XA;18MAY01XA
2.0000000000000000e+01,2,2,1.5211158787609766e+00,6.2387821202215733e-02,1.1723957570335330e+02,1.0000000000000000e+00,1.1723957570335330e+02,reject,17MAY01XA;18MAY01XA
