mode,n_points,n_params,beta_est,beta_sigma,delta_beta,gamma_est,gamma_sigma,chi2,dof,weighted_rmse_s,aic_like,delta_aic_base_minus_mode
none,12427,2,8.9556164948226688e+03,5.9468900514691416e+02,8.9546164948226688e+03,1.7910232989645338e+04,1.1893780102938283e+03,3.0688603142448978e+18,12425,1.0592103002299012e-04,3.0688603142448978e+18,-3.0688602508739528e+18
baseline_intercept,12427,46,1.1683469807950417e+00,8.7655786976539987e-02,1.6834698079504173e-01,1.3366939615900835e+00,1.7531157395307997e-01,6.3370944935046783e+10,12381,1.5220843702963768e-08,6.3370945027046783e+10,0.0000000000000000e+00
baseline_intercept_linear,12427,90,1.4021809170205990e+00,5.5657027442395014e-02,4.0218091702059899e-01,1.8043618340411980e+00,1.1131405488479003e-01,2.5210052395348907e+10,12337,9.6002050459550156e-09,2.5210052575348907e+10,3.8160892451697876e+10
